MSA,Year,Unemployment Rate
"Cleveland-Elyria, OH (MSA)",1998,2.6
"Indianapolis-Carmel-Anderson, IN (MSA)",1998,2.4
"Raleigh, NC (MSA)",1998,1.8
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1998,3.4
"Reno, NV (MSA)",1998,3.7
"Birmingham-Hoover, AL (MSA)",1998,3.3
"San Antonio-New Braunfels, TX (MSA)",1998,3.8
"Richmond, VA (MSA)",1998,2.6
"Albuquerque, NM (MSA)",1998,4.6
"Grand Rapids-Wyoming, MI (MSA)",1998,2.8
"Omaha-Council Bluffs, NE-IA (MSA)",1998,2.4
"Baltimore-Columbia-Towson, MD (MSA)",1998,4.8
"Rochester, NY (MSA)",1998,3.9
"San Diego-Carlsbad, CA (MSA)",1998,3.5
"Flint, MI (MSA)",1998,5.6
"Lexington-Fayette, KY (MSA)",1998,2.1
"Tucson, AZ (MSA)",1998,2.8
"Oklahoma City, OK (MSA)",1998,3.4
"Boise City, ID (MSA)",1998,3.9
"Ames, IA (MSA)",1998,2.6
